"","x"
"1",1680601
"2",3351554
"3",4216795
"4",3435212
"5",3765394
"6",515769
"7",487846
"8",4087226
"9",3766104
"10",4389069
"11",3769547
"12",2642849
"13",300040097
"14",3489973
"15",2337015
"16",300296052
"17",4151048
"18",2279967
"19",4393119
"20",4393938
"21",4391006
"22",4214801
"23",391168
"24",4216246
"25",4510387
"26",3383850
"27",247355
"28",3159130
"29",4260584
"30",4226458
"31",87519
"32",4393486
"33",3429278
"34",4393937
"35",4393042
"36",4391619
"37",274041
"38",1140869
"39",4687931
"40",71420
"41",4204675
"42",3768492
"43",986789
"44",3891570
"45",300250240
"46",4394042
"47",4220016
"48",4214870
"49",4226589
"50",4263086
"51",3638906
"52",4390329
"53",3857075
"54",4392957
"55",3568793
"56",3161180
"57",3383843
"58",4258619
"59",3764830
"60",4536805
"61",4536924
"62",89115
"63",91610
"64",4461807
"65",4217115
"66",3768769
"67",2755599
"68",300019898
"69",2523130
"70",80234
"71",4507083
"72",90369
"73",4609317
"74",3558257
"75",4688508
"76",817
"77",3349125
"78",3767948
"79",4442026
"80",417794
"81",1934542
"82",4394219
"83",4510685
"84",2671957
"85",300168855
"86",676318
"87",3857376
"88",402731
"89",4391
"90",3486278
"91",4390924
"92",674035
"93",4510317
"94",300177704
"95",4225453
"96",95680
"97",8578
"98",8300
"99",4510490
"100",307945
